CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
9391179,2021,2022-01-19,1942,2021-12-04,1940,41923,1207,6,5,7,1942,0,0,0,L,0,25735,"HOOVER ST","49TH ST",33.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,F,G,B,B,-,H,-,C,D,0,Y,,,,Y,,-,99,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28713226318359,33.998741149902344
9414623,2022,2022-02-24,1942,2022-01-16,1730,41977,25MX8,7,5,7,1942,0,0,0,,0,,"HOOVER ST","80TH ST",0.00,,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,B,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28712463378906,33.966709136962891
7114402,2015,2015-11-06,1942,2015-10-20,0220,35925,1267,2,5,7,1942,0,0,0,L,0,3TL5,"HOOVER ST","82ND ST",10.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,D,A,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28711035000001,33.964297420000001
9458730,2022,2022-06-14,1942,2022-05-09,0035,41844,1208,1,5,7,1942,0,0,0,L,0,25T33,"HOOVER ST","48TH ST",0.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,F,G,B,E,A,H,-,C,D,0,Y,,,,Y,,-,99,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28714752197266,33.999622344970703
9528657,2022,2022-11-30,1942,2022-10-10,0320,42364,1266,1,5,7,1942,0,0,0,L,0,25T90,"HOOVER ST","80TH ST",30.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,G,B,E,A,H,-,C,A,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28711700439453,33.966629028320312
9320537,2022,2022-03-25,1942,2022-02-07,1325,35393,1801,1,5,7,1942,0,0,0,R,0,25TL21,"MANCHESTER AV","HOOVER ST",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,03,22350,A,N,C,C,A,A,H,-,A,A,0,,,Y,,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28705596923828,33.960052490234375
9721138,2024,2024-08-14,1942,2024-06-19,1810,41977,1248,3,5,7,1942,0,0,0,L,0,25MQ52,"HOOVER ST","FLORENCE AV",3.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,A,A,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.287109375,33.974639892578125
9540009,2022,2023-01-25,1942,2022-11-24,1925,38111,1257,4,5,7,1942,0,0,0,L,0,25TL33,"HOOVER ST","79TH ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21955,,F,G,B,B,A,H,-,A,A,0,Y,,,,Y,Y,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28712463378906,33.967819213867188
9693806,2022,2024-04-27,1942,2022-12-04,0130,39360,1248,7,5,7,1942,0,0,0,L,0,25TL33,"FLORENCE AV","HOOVER ST",70.00,W,N,B,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,F,C,G,A,A,H,-,C,A,0,,Y,,,Y,,-,99,1,0,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28733825683594,33.974639892578125
7166494,2015,2016-01-26,1942,2015-12-10,1730,38108,1249,4,5,7,1942,0,0,0,L,0,12X56,"HOOVER ST","66TH ST",0.00,,Y,C,-,N,,,,,,,,,,N,2,0,1,3,A,-,03,22350,A,F,C,C,A,B,H,-,C,D,0,,,Y,,Y,,-,99,1,0,0,0,0,0,0,0,1,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28709012,33.97944012
