CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8205336,2016,2017-01-13,1942,2016-12-16,0945,39317,1239,5,5,7,1942,0,0,0,L,0,18T23,"VERMONT AV","60TH ST",0.00,,Y,B,-,N,,,,,,,,,,N,2,0,1,2,A,-,06,21951,,N,G,B,B,A,H,-,A,B,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.29149,33.985489999999999
8943229,2019,2019-09-20,1942,2019-08-18,0945,31324,1361,7,5,7,1942,0,0,0,M,0,13A61,BROADWAY,"49TH ST",0.00,,Y,B,-,N,,,,,,,,,,N,2,0,1,3,A,-,08,22100,B,N,-,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.27835083007812,33.998298645019531
9019038,2019,2020-01-27,1942,2019-11-09,0325,42364,1266,6,5,7,1942,0,0,0,L,0,12A67,"FIGUEROA ST","80TH ST",108.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,F,G,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28272247314453,33.966602325439453
9744551,2024,2024-10-30,1942,2024-09-05,1445,40717,1215,4,5,7,1942,0,0,0,L,0,25TL23,"VERMONT AV","SLAUSON AV",103.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,G,B,E,A,H,-,A,D,0,Y,,,,Y,,I,19,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.29147338867188,33.988845825195312
91965419,2022,2023-01-11,9590,2022-11-27,2145,022701,,7,2,7,1942,0,1,1,,2,051,"I-110 SOUTHBOUND (HARBOR FREEWAY)","43RD STREET",300.00,N,N,A,-,Y,LA,,110,,,19.188,H,,L,N,2,0,1,2,A,-,11,21954,A,F,G,B,D,A,H,-,D,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",34.006389617919922,-118.28135681152344,"LOS ANGELES","LOS ANGELES",-118.28112030029297,34.006389617919922
91994162,2022,2023-02-14,9590,2022-10-29,1908,022683,,6,2,7,1942,0,1,1,,2,050,"INTERSTATE 110 NORTHBOUND (HARBOR FREEWAY)","42ND STREET",371.00,S,N,A,-,Y,LA,,110,,,19.179,H,,R,N,1,1,0,2,A,-,03,22350,,N,C,C,A,A,H,-,C,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",34.006259918212891,-118.28098297119141,"LOS ANGELES","LOS ANGELES",-118.28099060058594,34.006259918212891
92296428,2023,2024-01-25,9590,2023-06-15,2340,022720,,4,3,7,1942,0,1,1,,2,051,"INTERSTATE 110 SOUTHBOUND (HARBOR FREEWAY)","SLAUSON AVENUE",200.00,S,N,B,-,Y,LA,,110," "," ",17.938,H,,L,Y,1,4,0,1,A,-,08,22107,,N,E,8,A,A,H,-,C,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",33.988399505615234,-118.28092956542969,"LOS ANGELES","LOS ANGELES",-118.28061676025391,33.988399505615234
8596175,2018,2018-05-01,1942,2018-03-14,0630,43116,,3,5,7,1942,0,0,0,,0,12A73,"MANCHESTER AV","BUDLONG AV",0.00,,Y,B,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,,N,G,B,B,A,H,-,B,A,0,Y,,,,Y,Y,A,07,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.29592132568359,33.960010528564453
8806746,2019,2019-03-05,1942,2019-01-18,1920,42665,1249,5,5,7,1942,0,0,0,L,0,12A49,"FIGUEROA ST","69TH ST",113.00,S,N,A,-,N,,,,,,,,,,Y,2,0,5,2,A,-,01,23152,A,N,A,C,A,A,H,-,C,A,0,,,,,Y,Y,A,01,1,0,4,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28269958496094,33.977039337158203
9391179,2021,2022-01-19,1942,2021-12-04,1940,41923,1207,6,5,7,1942,0,0,0,L,0,25735,"HOOVER ST","49TH ST",33.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,F,G,B,B,-,H,-,C,D,0,Y,,,,Y,,-,99,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28713226318359,33.998741149902344
9414623,2022,2022-02-24,1942,2022-01-16,1730,41977,25MX8,7,5,7,1942,0,0,0,,0,,"HOOVER ST","80TH ST",0.00,,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,B,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28712463378906,33.966709136962891
9640742,2024,2024-08-20,1942,2024-07-11,"35  ",44280,1266,4,5,7,1942,0,0,0,L,0,25T31,"FIGUEROA ST","82ND ST",128.00,S,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21954,A,N,G,B,D,B,H,-,C,A,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28272247314453,33.963939666748047
6187019,2013,2014-04-19,1942,2013-08-19,0720,33373,1218,1,5,7,1942,0,0,0,L,0,12T41,"VERMONT AV","55TH ST",105.00,S,N,B,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.291509,33.992016900000003
8205298,2016,2017-01-13,1942,2016-11-07,1915,42210,1239,1,5,7,1942,0,0,0,L,0,12X4,"61ST ST","FIGUEROA ST",215.00,W,N,A,-,N,,,,,,,,,,N,2,0,2,2,A,-,09,21801,A,N,D,C,A,A,H,-,C,D,0,,,Y,,Y,,A,01,1,0,1,0,0,0,0,0,2,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28340783,33.98418839
9584385,2023,2023-05-16,1942,2023-03-21,1821,43805,1248,2,5,7,1942,0,0,0,L,0,12X18W,"69TH ST","VERMONT ST",0.00,,Y,C,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,B,B,-,A,-,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.29184722900391,33.977035522460938
92356465,2024,2024-04-04,9590,2024-03-14,2130,023084,,4,2,7,1942,0,1,1,,2,051,"INTERSTATE 110 SOUTHBOUND (HARBOR FREEWAY)","MANCHESTER AVENUE",100.00,S,N,A,-,Y,LA,,110," "," ",15.964,H,,L,Y,1,1,0,2,A,-,03,22350,,N,C,2,A,A,H,-,C,D,0,,,Y,,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",33.959808349609375,-118.28121185302734,"LOS ANGELES","LOS ANGELES",-118.28092956542969,33.959808349609375
8077535,2016,2016-07-01,1942,2016-06-17,0220,37807,1256,5,5,7,1942,0,0,0,L,0,12T41,"76TH ST",FIGUEROA,0.00,,N,A,-,N,,,,,,,,,,Y,2,0,2,4,A,-,03,22350,A,F,B,E,A,A,H,-,C,A,0,,,,,Y,,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28271014000001,33.97076002
8090892,2016,2016-07-28,1942,2016-07-11,2025,40643,1381,1,5,7,1942,0,0,0,M,0,1T11,"59TH PL",BROADWAY,132.00,W,N,A,-,N,,,,,,,,,,Y,2,0,5,2,A,-,09,21804,A,N,D,C,A,A,H,-,C,D,0,,,,Y,Y,,F,21,1,1,3,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.27872447999999,33.98600776
9227268,2021,2021-04-23,1942,2021-03-04,2315,42118,0397,4,5,7,1942,0,0,0,C,0,3A99,"W 43RD PL","S VERMONT AV",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,2,6,A,-,09,21801,A,N,A,C,A,A,H,-,C,D,0,,,,,Y,,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.29154968261719,34.004547119140625
9725338,2024,2024-08-22,1942,2024-07-06,1100,41704,0398,6,5,7,1942,0,0,0,C,0,25MQ16,"VERNON AV","FIGUEROA ST",0.00,,Y,B,-,N,,,,,,,,,,Y,2,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,A,0,,,Y,,Y,,A,01,1,0,0,0,0,0,0,0,1,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28273773193359,34.003746032714844
7114402,2015,2015-11-06,1942,2015-10-20,0220,35925,1267,2,5,7,1942,0,0,0,L,0,3TL5,"HOOVER ST","82ND ST",10.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,D,A,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28711035000001,33.964297420000001
9113956,2020,2020-08-20,1942,2020-06-11,0540,42926,1381,4,5,7,1942,0,0,0,M,0,13A85,"W SLAUSON AV","S OLIVE ST",274.00,W,N,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,05,21460,A,N,A,C,A,A,H,-,B,D,0,,,,,Y,,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28028106689453,33.989158630371094
8111541,2016,2016-08-31,1942,2016-08-21,1735,41169,1257,7,5,7,1942,0,0,0,L,0,12X4W7,"77TH ST",FIGUEROA,200.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28337818,33.969788180000002
8568843,2018,2018-03-15,1942,2018-02-20,1500,42428,1245,2,5,7,1942,0,0,0,L,0,12A39,"FLORENCE AV",VERMONT,5.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,A,G,A,A,H,-,A,A,0,,Y,,,Y,,A,01,1,0,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.29175567626953,33.974628448486328
9554458,2022,2023-03-08,1942,2022-12-11,0700,42926,1341,7,5,7,1942,0,0,0,M,0,0700,"MARTIN LUTHER KING JR BL","HILL ST",0.00,,Y,B,C,Y,LA,7,110,-,-,19.354,R,4,N,Y,2,0,1,2,A,-,12,21453,A,F,D,C,A,B,H,-,B,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28095245361328,34.008869171142578
9785442,2024,2025-02-19,1942,2024-12-22,1750,40404,1256,7,5,7,1942,0,0,0,L,0,25T33,"FIGUEROA ST","76TH ST",150.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,N,G,-,F,A,H,-,C,D,0,Y,Y,,,Y,,L,04,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28270721435547,33.971172332763672
9458730,2022,2022-06-14,1942,2022-05-09,0035,41844,1208,1,5,7,1942,0,0,0,L,0,25T33,"HOOVER ST","48TH ST",0.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,F,G,B,E,A,H,-,C,D,0,Y,,,,Y,,-,99,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28714752197266,33.999622344970703
9528657,2022,2022-11-30,1942,2022-10-10,0320,42364,1266,1,5,7,1942,0,0,0,L,0,25T90,"HOOVER ST","80TH ST",30.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,G,B,E,A,H,-,C,A,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28711700439453,33.966629028320312
9542147,2022,2022-12-29,1942,2022-10-13,0818,43073,1249,4,5,7,1942,0,0,0,L,0,12A39,"ESTRELLA AV","65TH ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,3,A,-,03,22350,,N,A,B,E,A,H,-,A,D,0,Y,,,,Y,Y,-,99,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28488159179688,33.9805908203125
8481179,2017,2017-11-17,1942,2017-09-13,1915,35060,1801,3,5,7,1942,0,0,0,R,0,23R102,"MANCHESTER AV","HOOVER ST",130.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21950,B,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28748776,33.960041769999997
9320537,2022,2022-03-25,1942,2022-02-07,1325,35393,1801,1,5,7,1942,0,0,0,R,0,25TL21,"MANCHESTER AV","HOOVER ST",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,03,22350,A,N,C,C,A,A,H,-,A,A,0,,,Y,,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28705596923828,33.960052490234375
9320714,2022,2022-05-18,1942,2022-04-06,2218,42069,1256,3,5,7,1942,0,0,0,L,0,25TL37,"FIGUEROA ST","74TH ST",8.00,N,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,10,21950,A,F,A,B,B,A,H,-,C,A,0,Y,,,,Y,,-,99,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28270721435547,33.972732543945312
9709023,2024,2024-07-17,1942,2024-05-07,2220,43551,1218,2,5,7,1942,0,0,0,L,0,12A15,"FIGUEROA ST","54TH ST",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,12,21453,A,F,D,C,A,A,H,-,C,A,0,,,,,Y,,A,07,1,1,0,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28267669677734,33.9932861328125
9721138,2024,2024-08-14,1942,2024-06-19,1810,41977,1248,3,5,7,1942,0,0,0,L,0,25MQ52,"HOOVER ST","FLORENCE AV",3.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,A,A,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.287109375,33.974639892578125
9520177,2022,2022-12-20,1942,2022-10-24,2050,42009,1265,1,5,7,1942,0,0,0,L,0,25T31,"MANCHESTER AV","VERMORT AV",136.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,00,21954,G,N,G,B,E,A,H,-,C,A,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.29222106933594,33.960018157958984
9540009,2022,2023-01-25,1942,2022-11-24,1925,38111,1257,4,5,7,1942,0,0,0,L,0,25TL33,"HOOVER ST","79TH ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21955,,F,G,B,B,A,H,-,A,A,0,Y,,,,Y,Y,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28712463378906,33.967819213867188
9653988,2023,2024-01-08,1942,2023-11-18,1745,40404,1267,6,5,7,1942,0,0,0,L,0,25T31,"FIGUEROA ST","83RD ST",129.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,A,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28273010253906,33.964504241943359
9694413,2023,2024-04-27,1942,2023-05-29,"500 ",41747,1215,1,5,7,1942,0,0,0,L,0,25TL23,"SLAUSON AV","VERMONT AV",400.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,F,G,B,E,A,H,-,D,A,0,Y,,,,Y,,-,99,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.29278564453125,33.989128112792969
9268340,2021,2021-06-30,1942,2021-05-22,0230,41072,1256,6,5,7,1942,0,0,0,L,0,12A57,"S FIGUEROA ST","W FLORENCE AV",160.00,N,N,A,-,N,,,,,,,,,,Y,2,0,3,2,A,-,03,22350,,N,C,C,A,A,H,-,C,A,0,,,,Y,Y,,A,01,1,1,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28269958496094,33.97509765625
90929150,2018,2019-02-19,9590,2018-08-23,0235,21016,,4,3,7,1942,0,1,1,,2,051,"INTERSTATE 110 SOUTHBOUND","79TH STREET",612.00,S,N,A,-,Y,,,110,,,,,,S,Y,1,1,0,3,A,-,11,21954,A,N,G,B,E,A,H,-,C,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",33.966800689697266,-118.28089904785156,"LOS ANGELES","LOS ANGELES",-118.28093719482422,33.966800689697266
6432426,2014,2014-06-25,1942,2014-03-16,1829,38633,1256,7,5,7,1942,0,0,0,L,0,12T41,"FLORENCE AV","FLOWER ST",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,01,23152,A,N,D,C,A,A,H,-,C,A,0,,,,,Y,Y,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28126007,33.974650099999998
9350900,2021,2021-12-01,1942,2021-10-20,1218,43325,1351,3,5,7,1942,0,0,0,M,0,4A3W2,BROADWAY,"VERNON AV",20.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,04,21703,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,08,1,0,0,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.27837371826172,34.003799438476562
9693806,2022,2024-04-27,1942,2022-12-04,0130,39360,1248,7,5,7,1942,0,0,0,L,0,25TL33,"FLORENCE AV","HOOVER ST",70.00,W,N,B,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,F,C,G,A,A,H,-,C,A,0,,Y,,,Y,,-,99,1,0,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28733825683594,33.974639892578125
9758802,2024,2024-12-16,1942,2024-09-23,2255,45683,1218,1,5,7,1942,0,0,0,L,0,12A18,"FIGUEROA ST","54TH ST",30.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21955,,M,G,B,D,A,H,-,C,A,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28267669677734,33.993206024169922
92329361,2024,2024-03-04,9590,2024-01-26,"158 ",023162,,5,3,7,1942,0,1,1,,2,051,"INTERSTATE-110 SOUTHBOUND (HARBOR FREEWAY)","47TH STREET OVERCROSSING",18.00,S,N,A,-,Y,LA,,110," "," ",18.817,H,,L,N,1,1,0,2,A,-,11,21954,A,F,G,B,E,A,H,-,D,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",34.000938415527344,-118.28112030029297,"LOS ANGELES","LOS ANGELES",-118.28103637695312,34.000946044921875
94530581,2024,2025-01-08,9590,2024-03-17,"550 ",021926,,7,3,7,1942,0,1,1,,2,051,"INTERSTATE-110 SOUTHBOUND (HARBOR FREEWAY)","MANCHESTER AVENUE",90.00,N,N,A,-,Y,LA,,110," "," ",16.004,H,,L,Y,1,2,4,4,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,,Y,Y,A,07,2,2,0,0,0,0,0,0,0,"- ","- ",33.960418701171875,-118.28108215332031,"LOS ANGELES","LOS ANGELES",-118.28092956542969,33.960418701171875
6904940,2015,2015-05-15,1942,2015-03-25,0620,40869,1267,3,5,7,1942,0,0,0,L,0,12TL41,"VERMONT AV","83RD ST",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21456,B,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.29183,33.963650000000001
9313455,2021,2021-10-14,1942,2021-08-10,1700,42804,0396,2,5,7,1942,0,0,0,C,0,25Q21,"VERMONT AV","41ST DR",96.00,N,N,A,-,N,,,,,,,,,,N,2,0,2,2,A,-,03,22350,,N,D,J,A,A,H,-,A,D,0,,,Y,,Y,,O,05,1,0,1,0,0,0,0,0,1,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.29154968261719,34.008544921875
94503897,2024,2024-12-16,9590,2024-08-14,1229,021848,,3,1,7,1942,0,1,1,,2,500,"INTERSTATE 110 NORTHBOUND (HARBOR FREEWAY) EXPRESS","SLAUSON AVENUE (SOUTH ROAD EDGE)",66.00,N,N,A,-,Y,LA,,110," "," ",17.989,H,,R,N,1,1,0,2,A,-,11,21954,A,N,G,B,E,A,H,-,A,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",33.989151000976562,-118.28031921386719,"LOS ANGELES","LOS ANGELES",-118.28040313720703,33.989151000976562
6301546,2013,2014-05-30,1942,2013-11-21,1730,36752,1249,4,5,7,1942,0,0,0,L,0,12T73,"67TH ST","FLOWER ST",170.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,05,21650,,F,A,G,A,B,H,-,C,D,0,,Y,,,Y,,-,"- ",1,0,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28079409999999,33.979013999999999
6370262,2014,2014-06-06,1942,2014-01-25,1100,30399,1218,6,5,7,1942,0,0,0,L,0,3TL5,"54TH ST","HOOVER ST",150.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,"- ",,,N,G,B,E,A,H,-,A,D,0,Y,,,,Y,Y,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28764389,33.993250000000003
7146067,2015,2015-12-31,1942,2015-12-10,1410,36754,1207,4,5,7,1942,0,0,0,L,0,3157,"47TH ST","VERMONT AV",140.00,E,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,09,21804,A,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,0,0,0,0,1,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.29154,34.000610000000002
9027717,2020,2020-05-29,1942,2020-02-09,1830,41072,1209,7,5,7,1942,0,0,0,L,0,12A15,"S FLOWER ST","W 45TH ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,F,C,G,A,A,H,-,C,D,0,,Y,,,Y,,-,99,1,0,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28166961669922,34.002849578857422
9471524,2023,2023-11-13,1942,2023-09-17,1900,41933,1205,7,5,7,1942,0,0,0,L,0,25T35,"VERMONT AV","50TH ST",170.00,N,N,A,B,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,F,C,G,A,A,H,-,C,D,0,,Y,,,Y,,-,99,1,0,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.29154205322266,33.998268127441406
9714054,2024,2024-08-06,1942,2024-06-30,"950 ",41729,1257,7,5,7,1942,0,0,0,L,0,25TL23,"VERMONT AV","76TH ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,12,21453,A,N,D,D,A,A,H,-,A,A,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.29174041748047,33.970714569091797
90896742,2018,2019-01-03,9590,2018-12-26,0248,021883,,3,3,7,1942,0,1,1,,2,051,"I-110 S/B (HAF) TO MANCHESTER AVENUE","MANCHESTER AVENUE",450.00,N,N,A,-,Y,,,110,,,,R,,S,Y,2,0,3,1,A,-,01,23153,A,N,E,J,A,A,H,-,C,D,0,,,,,Y,Y,A,07,2,1,0,0,0,0,0,0,0,"- ","- ",33.961238861083984,-118.28157806396484,"LOS ANGELES","LOS ANGELES",-118.28157806396484,33.961238861083984
6908949,2015,2015-06-02,1942,2015-05-02,0400,35936,1209,6,5,7,1942,0,0,0,L,0,12T41,"FIGUEROA ST","48TH ST",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,03,22350,,F,G,B,D,A,H,-,B,D,0,Y,,,,Y,,-,99,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28272009,33.999650080000002
7166494,2015,2016-01-26,1942,2015-12-10,1730,38108,1249,4,5,7,1942,0,0,0,L,0,12X56,"HOOVER ST","66TH ST",0.00,,Y,C,-,N,,,,,,,,,,N,2,0,1,3,A,-,03,22350,A,F,C,C,A,B,H,-,C,D,0,,,Y,,Y,,-,99,1,0,0,0,0,0,0,0,1,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28709012,33.97944012
