CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6117401,2013,2014-03-10,1942,2013-06-28,1050,40726,1345,5,5,7,1942,0,0,0,M,0,1TL11,"HOOPER AV","MARTIN LUTHER KING JR BL",53.00,N,N,A,-,N,,,,,,,,,,Y,2,0,3,3,A,-,21,22106,,N,A,C,A,A,H,-,A,D,0,,,,,Y,,D,22,1,1,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.25216399999999,34.011350200000003
6418173,2014,2014-10-07,1942,2014-03-05,2030,39062,1343,3,5,7,1942,0,0,0,M,0,11T21,"MARTIN LUTHER KING JR BL","CENTRAL AV",196.00,W,N,A,-,N,,,,,,,,,,Y,1,1,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,0,1,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.25651000000001,34.01117
6738440,2014,2016-01-07,1942,2014-11-26,0850,32996,1341,3,5,7,1942,0,0,0,M,0,13T55,"MAIN ST","MARTIN LUTHER KING JR BL",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,5,4,A,-,12,21453,A,N,D,C,E,A,H,-,A,A,0,Y,,,,Y,,A,07,0,3,2,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.27402008,34.011150030000003
7150567,2015,2016-01-12,1942,2015-12-19,2230,41056,1343,6,5,7,1942,0,0,0,M,0,1T11,"MARTIN LUTHER KING BL",WADSWORTH,0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,F,G,B,B,B,H,-,C,A,0,Y,,,,Y,,-,99,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.25894003000001,34.010970110000002
7178500,2016,2016-02-16,1942,2016-01-30,0215,40643,1341,6,5,7,1942,0,0,0,M,0,13T53,"BROADWAY PL","MARTIN LUTHER KING",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,12,21453,A,F,D,G,A,A,H,-,C,A,0,,Y,,,Y,,-,"- ",1,0,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.27741004000001,34.011130039999998
7199877,2016,2018-09-27,1942,2016-11-12,0229,14536,0359,6,5,7,1942,0,0,0,C,0,18T23,"39TH ST","FLOWER ST",173.00,E,N,A,-,N,,,,,,,,,,N,1,1,1,2,A,-,03,22350,,N,E,I,F,A,H,-,C,A,0,Y,,,,Y,,A,07,0,0,1,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28144,34.013959999999997
8064171,2016,2016-07-08,1942,2016-05-31,0615,31324,1343,2,5,7,1942,0,0,0,M,0,4TL4,"MARTIN LUTHER KING BL","AVALON BL",0.00,,Y,B,-,N,,,,,,,,,,N,2,0,1,3,A,-,12,21453,A,F,D,C,A,A,H,-,A,A,0,,,,,Y,,-,99,1,0,0,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.26526013,34.011060010000001
8326946,2017,2017-03-27,1942,2017-02-21,2155,35291,1345,2,5,7,1942,0,0,0,M,0,24T31,"HOOPER AV","MARTIN LUTHER KING JR BL",73.00,S,N,B,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21950,B,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,Y,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.25215,34.0110198
8402594,2017,2017-07-19,1942,2017-06-04,2320,39041,1343,7,5,7,1942,0,0,0,M,0,13A43,"MARTIN LUTHER KING BL","AVALON BL",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,4,2,A,-,12,21453,A,N,D,C,A,A,H,-,C,A,0,,,,,Y,Y,A,01,2,1,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.26526013,34.011060010000001
8519826,2017,2017-12-29,1942,2017-11-21,1510,30380,1341,2,5,7,1942,0,0,0,M,0,13A41,"S HILL ST","W 39TH ST",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,4,2,A,-,12,22450,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,1,0,3,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.27910006,34.013090079999998
